index,year,month,hour,txn_type,txn_status,error_code,remitter_bank,beneficiary_bank,payer_handle,payer_app,payee_handle,payee_app,payee_requested_amount,payee_settlement_amount,difference_amount,payer_state,payee_state,cred_type,cred_subtype,time_of_day
3589,2022,11,2,Reversal,Successful,0,Bandhan Bank,Bank of India,INDUS,BHIM Indus Pay,BANDHAN,Bandhan Bank UPI,7554,9820,-2266,Jammu and Kashmir,Bihar,Overdraft,Personal Overdraft,LateNight
3595,2023,4,2,Reversal,Successful,0,Axis Bank,Indian Bank,AXISBANK,BHIM Axis Pay UPI App,CORP,BHIM Corp UPI,4758,4984,-226,Tamil Nadu,Andhra Pradesh,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
3609,2019,10,2,Reversal,Successful,0,Bank of India,Punjab and Maharashtra Co-operative Bank (PMC),EQUITAS,Equitas UPI,COSMOS,COSMOS,30784,40019,-9235,Gujarat,Madhya Pradesh,Debit Card,Prepaid Debit Card,LateNight
3614,2022,1,2,Reversal,Successful,0,Paschim Banga Gramin Bank,Axis Bank,FREECHARGE,Freecharge,YBL,PhonePe,3270,3270,0,Jharkhand,Gujarat,Overdraft,Personal Overdraft,LateNight
3616,2022,5,2,Reversal,Successful,0,Paschim Banga Gramin Bank,IDBI Bank,IDFCBANK,Ultracash,IDFCFIRST,IDFC Bank BHIM UPI App,88544,88544,0,Jammu and Kashmir,Haryana,Debit Card,Prepaid Debit Card,LateNight
3633,2019,10,2,Reversal,Successful,0,RBL Bank,Kotak Mahindra Bank,POSTBANK,India Post Payments Bank,HDFCBANK,HDFC Bank Mobilebanking,85090,85090,0,Tamil Nadu,Goa,Auto Loan,New Car Loan,LateNight
3666,2022,5,2,Reversal,Successful,0,Paschim Banga Gramin Bank,IDBI Bank,IDFCBANK,Ultracash,IDFCFIRST,IDFC Bank BHIM UPI App,88544,88544,0,Jammu and Kashmir,Haryana,Debit Card,Prepaid Debit Card,LateNight
3710,2019,10,2,Reversal,Successful,0,RBL Bank,Kotak Mahindra Bank,POSTBANK,India Post Payments Bank,HDFCBANK,HDFC Bank Mobilebanking,85090,110617,-25527,Tamil Nadu,Goa,Auto Loan,New Car Loan,LateNight
3736,2022,5,2,Reversal,Successful,0,Paschim Banga Gramin Bank,IDBI Bank,IDFCBANK,Ultracash,IDFCFIRST,IDFC Bank BHIM UPI App,88544,88544,0,Jammu and Kashmir,Haryana,Debit Card,Prepaid Debit Card,LateNight
3764,2019,10,2,Reversal,Successful,0,RBL Bank,Kotak Mahindra Bank,POSTBANK,India Post Payments Bank,HDFCBANK,HDFC Bank Mobilebanking,85090,110617,-25527,Tamil Nadu,Goa,Auto Loan,New Car Loan,LateNight
3807,2023,5,2,Reversal,Successful,0,Union Bank of India,United Bank of India,OKSBI,Google Pay,DLB,BHIM DLB,25788,25788,0,Goa,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
3833,2022,11,2,Reversal,Error,U30,United Bank of India,AU Small Finance Bank,JSB,JetPay (Janata Sahakari Bank),OKAXIS,Google Pay,34672,34672,0,Maharashtra,Gujarat,Auto Loan,New Car Loan,LateNight
3844,2022,11,2,Reversal,Failed,U30,United Bank of India,AU Small Finance Bank,JSB,JetPay (Janata Sahakari Bank),OKAXIS,Google Pay,34672,45073,-10401,Maharashtra,Gujarat,Auto Loan,New Car Loan,LateNight
3873,2023,5,2,Reversal,Successful,0,Union Bank of India,United Bank of India,OKSBI,Google Pay,DLB,BHIM DLB,25788,27031,-1243,Goa,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
3910,2022,11,2,Reversal,Failed,U30,United Bank of India,AU Small Finance Bank,JSB,JetPay (Janata Sahakari Bank),OKAXIS,Google Pay,34672,45073,-10401,Maharashtra,Gujarat,Auto Loan,New Car Loan,LateNight
3932,2023,5,2,Reversal,Successful,0,Union Bank of India,United Bank of India,OKSBI,Google Pay,DLB,BHIM DLB,25788,27031,-1243,Goa,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
3959,2022,9,2,Reversal,Successful,0,Karur Vysya Bank,IDFC First Bank,MAHB,BHIM Maha UPI(Bank of Maharashtra),ESAF,ESAF,15086,15086,0,Jammu and Kashmir,Goa,Credit Card,Secured Credit Card,LateNight
3970,2023,3,2,Reversal,Successful,0,Baroda Gujarat Gramin Bank,Indian Bank,WASBI,WhatsApp Pay,AUBANK,BHIM AUPay(AU Small Finance Bank),27498,27498,0,Maharashtra,Rajasthan,Debit Card,Prepaid Debit Card,LateNight
3986,2023,8,2,Reversal,Successful,0,Dhanlaxmi Bank,Ujjivan Small Finance Bank,SCB,Standard Chartered UPI,PREPAIDICICI,PREPAIDICICI,29808,29808,0,Haryana,Uttarakhand,Auto Loan,Used Car Loan,LateNight
4028,2022,9,2,Reversal,Successful,0,Karur Vysya Bank,IDFC First Bank,MAHB,BHIM Maha UPI(Bank of Maharashtra),ESAF,ESAF,15086,15086,0,Jammu and Kashmir,Goa,Credit Card,Secured Credit Card,LateNight
4031,2023,8,2,Reversal,Successful,0,Dhanlaxmi Bank,Ujjivan Small Finance Bank,SCB,Standard Chartered UPI,PREPAIDICICI,PREPAIDICICI,29808,31248,-1440,Haryana,Uttarakhand,Auto Loan,Used Car Loan,LateNight
4043,2023,3,2,Reversal,Successful,0,Baroda Gujarat Gramin Bank,Indian Bank,WASBI,WhatsApp Pay,AUBANK,BHIM AUPay(AU Small Finance Bank),27498,28826,-1328,Maharashtra,Rajasthan,Debit Card,Prepaid Debit Card,LateNight
4074,2022,9,2,Reversal,Successful,0,Karur Vysya Bank,IDFC First Bank,MAHB,BHIM Maha UPI(Bank of Maharashtra),ESAF,ESAF,15086,15086,0,Jammu and Kashmir,Goa,Credit Card,Secured Credit Card,LateNight
4077,2023,8,2,Reversal,Successful,0,Dhanlaxmi Bank,Ujjivan Small Finance Bank,SCB,Standard Chartered UPI,PREPAIDICICI,PREPAIDICICI,29808,31248,-1440,Haryana,Uttarakhand,Auto Loan,Used Car Loan,LateNight
4085,2023,3,2,Reversal,Successful,0,Baroda Gujarat Gramin Bank,Indian Bank,WASBI,WhatsApp Pay,AUBANK,BHIM AUPay(AU Small Finance Bank),27498,28826,-1328,Maharashtra,Rajasthan,Debit Card,Prepaid Debit Card,LateNight
4096,2021,7,2,Reversal,Successful,0,City Union Bank,Karnataka Bank,PSB,BHIM PSB(Punjab Sind Bank),JANABANK,JANABANK,13846,13846,0,Odisha,Kerala,Overdraft,Business Overdraft,LateNight
4191,2021,7,2,Reversal,Successful,0,City Union Bank,Karnataka Bank,PSB,BHIM PSB(Punjab Sind Bank),JANABANK,JANABANK,13846,13846,0,Odisha,Kerala,Overdraft,Business Overdraft,LateNight
4252,2021,7,2,Reversal,Successful,0,City Union Bank,Karnataka Bank,PSB,BHIM PSB(Punjab Sind Bank),JANABANK,JANABANK,13846,13846,0,Odisha,Kerala,Overdraft,Business Overdraft,LateNight
4321,2022,1,2,Reversal,Successful,0,Equitas Small Finance Bank,Allahabad Bank,FBL,Cointab,CSBPAY,CSB UPI,66398,66398,0,Delhi,Maharashtra,Line of Credit,Personal Line of Credit,LateNight
4324,2022,1,2,Reversal,Successful,0,Equitas Small Finance Bank,Allahabad Bank,FBL,Cointab,CSBPAY,CSB UPI,66398,66398,0,Delhi,Maharashtra,Line of Credit,Personal Line of Credit,LateNight
4361,2022,1,2,Reversal,Successful,0,Equitas Small Finance Bank,Allahabad Bank,FBL,Cointab,CSBPAY,CSB UPI,66398,66398,0,Delhi,Maharashtra,Line of Credit,Personal Line of Credit,LateNight
4413,2022,7,2,Reversal,Successful,0,Lakshmi Vilas Bank,Allahabad Bank,YESPAY,JusPay Technologies,NSDL,NSDL,50066,50066,0,West Bengal,Jammu and Kashmir,Credit Card,Secured Credit Card,LateNight
4440,2022,8,2,Reversal,Successful,0,UCO Bank,IndusInd Bank,BOI,BHIM BOI? UPI,RBL,BHIM RBL Pay,66974,66974,0,Punjab,Rajasthan,Debit Card,Standard Debit Card,LateNight
4446,2019,9,2,Reversal,Successful,0,City Union Bank,Shamrao Vithal Co-operative Bank,AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,HDFCBANK,HDFC Bank Mobilebanking,43188,43188,0,Punjab,West Bengal,Debit Card,Prepaid Debit Card,LateNight
4449,2019,9,2,Reversal,Successful,0,City Union Bank,Shamrao Vithal Co-operative Bank,AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,HDFCBANK,HDFC Bank Mobilebanking,43188,43188,0,Punjab,West Bengal,Debit Card,Prepaid Debit Card,LateNight
4475,2022,7,2,Reversal,Successful,0,Lakshmi Vilas Bank,Allahabad Bank,YESPAY,JusPay Technologies,NSDL,NSDL,50066,50066,0,West Bengal,Jammu and Kashmir,Credit Card,Secured Credit Card,LateNight
4499,2022,8,2,Reversal,Successful,0,UCO Bank,IndusInd Bank,BOI,BHIM BOI? UPI,RBL,BHIM RBL Pay,66974,66974,0,Punjab,Rajasthan,Debit Card,Standard Debit Card,LateNight
4524,2019,9,2,Reversal,Successful,0,City Union Bank,Shamrao Vithal Co-operative Bank,AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,HDFCBANK,HDFC Bank Mobilebanking,43188,43188,0,Punjab,West Bengal,Debit Card,Prepaid Debit Card,LateNight
4535,2022,7,2,Reversal,Successful,0,Lakshmi Vilas Bank,Allahabad Bank,YESPAY,JusPay Technologies,NSDL,NSDL,50066,50066,0,West Bengal,Jammu and Kashmir,Credit Card,Secured Credit Card,LateNight
4560,2022,8,2,Reversal,Successful,0,UCO Bank,IndusInd Bank,BOI,BHIM BOI? UPI,RBL,BHIM RBL Pay,66974,66974,0,Punjab,Rajasthan,Debit Card,Standard Debit Card,LateNight
4726,2021,10,2,Reversal,Successful,0,United Bank of India,Yes Bank,YESPAY,JusPay Technologies,SBI,BHIM SBI Pay,62676,62676,0,Rajasthan,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
4729,2019,12,2,Reversal,Successful,0,RBL Bank,Union Bank of India,HDFCBANKJD,JustDial,OKICICI,Google Pay,79962,79962,0,Kerala,Punjab,Overdraft,Personal Overdraft,LateNight
4819,2021,10,2,Reversal,Successful,0,United Bank of India,Yes Bank,YESPAY,JusPay Technologies,SBI,BHIM SBI Pay,62676,81478,-18802,Rajasthan,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
4824,2019,12,2,Reversal,Successful,0,RBL Bank,Union Bank of India,HDFCBANKJD,JustDial,OKICICI,Google Pay,79962,79962,0,Kerala,Punjab,Overdraft,Personal Overdraft,LateNight
4881,2021,10,2,Reversal,Successful,0,United Bank of India,Yes Bank,YESPAY,JusPay Technologies,SBI,BHIM SBI Pay,62676,81478,-18802,Rajasthan,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
4886,2019,12,2,Reversal,Successful,0,RBL Bank,Union Bank of India,HDFCBANKJD,JustDial,OKICICI,Google Pay,79962,79962,0,Kerala,Punjab,Overdraft,Personal Overdraft,LateNight
4928,2021,9,2,Reversal,Successful,0,Canara Bank,Canara Bank,SPCB,SPCB,IDFCFIRSTBANK,IDFC Bank BHIM UPI App,30770,30770,0,Bihar,Kerala,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
4949,2019,7,2,Reversal,Successful,0,Bank of Maharashtra,North East Small Finance Bank,ESAF,ESAF,MAIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,34482,34482,0,Jammu and Kashmir,Odisha,Home Loan,Fixed-Rate Mortgage,LateNight
4951,2020,9,2,Reversal,Successful,0,Nainital Bank,IndusInd Bank,SBMBANK,SBMBANK,CITIBANK,CITI Corporate (Merchant Acquiring Bank),84360,84360,0,Maharashtra,Telangana,Debit Card,Prepaid Debit Card,LateNight
4974,2019,7,2,Reversal,Successful,0,Bank of Maharashtra,North East Small Finance Bank,ESAF,ESAF,MAIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,34482,34482,0,Jammu and Kashmir,Odisha,Home Loan,Fixed-Rate Mortgage,LateNight
4977,2020,9,2,Reversal,Successful,0,Nainital Bank,IndusInd Bank,SBMBANK,SBMBANK,CITIBANK,CITI Corporate (Merchant Acquiring Bank),84360,84360,0,Maharashtra,Telangana,Debit Card,Prepaid Debit Card,LateNight
4998,2020,9,2,Reversal,Successful,0,Nainital Bank,IndusInd Bank,SBMBANK,SBMBANK,CITIBANK,CITI Corporate (Merchant Acquiring Bank),84360,84360,0,Maharashtra,Telangana,Debit Card,Prepaid Debit Card,LateNight
5003,2021,9,2,Reversal,Successful,0,Canara Bank,Canara Bank,SPCB,SPCB,IDFCFIRSTBANK,IDFC Bank BHIM UPI App,30770,30770,0,Bihar,Kerala,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
5015,2019,7,2,Reversal,Successful,0,Bank of Maharashtra,North East Small Finance Bank,ESAF,ESAF,MAIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,34482,34482,0,Jammu and Kashmir,Odisha,Home Loan,Fixed-Rate Mortgage,LateNight
5055,2021,9,2,Reversal,Successful,0,Canara Bank,Canara Bank,SPCB,SPCB,IDFCFIRSTBANK,IDFC Bank BHIM UPI App,30770,30770,0,Bihar,Kerala,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
5082,2022,8,2,Reversal,Successful,0,Andhra Bank,Utkarsh Small Finance Bank,AUBANK,BHIM AUPay(AU Small Finance Bank),PAYTM,Paytm UPI App,95212,95212,0,Haryana,Goa,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
5096,2022,12,2,Reversal,Successful,0,Shamrao Vithal Co-operative Bank,United Bank of India,OKICICI,Google Pay,AUBANK,BHIM AUPay(AU Small Finance Bank),13526,13526,0,Uttar Pradesh,Gujarat,Auto Loan,Used Car Loan,LateNight
5118,2023,3,2,Reversal,Successful,0,Nainital Bank,IDFC First Bank,HSBC,HSBC Simple Pay,CORP,BHIM Corp UPI,27192,27192,0,Maharashtra,West Bengal,Debit Card,Standard Debit Card,LateNight
5119,2020,8,2,Reversal,Successful,0,Allahabad Bank,Saraswat Cooperative Bank,CNRB,BHIM Canara- eMPower,CNRB,BHIM Canara- eMPower,8940,8940,0,Bihar,West Bengal,Credit Card,Balance Transfer Credit Card,LateNight
5121,2023,3,2,Reversal,Successful,0,Nainital Bank,IDFC First Bank,HSBC,HSBC Simple Pay,CORP,BHIM Corp UPI,27192,28504,-1312,Maharashtra,West Bengal,Debit Card,Standard Debit Card,LateNight
5124,2020,8,2,Reversal,Successful,0,Allahabad Bank,Saraswat Cooperative Bank,CNRB,BHIM Canara- eMPower,CNRB,BHIM Canara- eMPower,8940,8940,0,Bihar,West Bengal,Credit Card,Balance Transfer Credit Card,LateNight
5137,2022,12,2,Reversal,Successful,0,Shamrao Vithal Co-operative Bank,United Bank of India,OKICICI,Google Pay,AUBANK,BHIM AUPay(AU Small Finance Bank),13526,13526,0,Uttar Pradesh,Gujarat,Auto Loan,Used Car Loan,LateNight
5146,2022,8,2,Reversal,Successful,0,Andhra Bank,Utkarsh Small Finance Bank,AUBANK,BHIM AUPay(AU Small Finance Bank),PAYTM,Paytm UPI App,95212,95212,0,Haryana,Goa,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
5181,2022,12,2,Reversal,Successful,0,Shamrao Vithal Co-operative Bank,United Bank of India,OKICICI,Google Pay,AUBANK,BHIM AUPay(AU Small Finance Bank),13526,13526,0,Uttar Pradesh,Gujarat,Auto Loan,Used Car Loan,LateNight
5194,2020,8,2,Reversal,Successful,0,Allahabad Bank,Saraswat Cooperative Bank,CNRB,BHIM Canara- eMPower,CNRB,BHIM Canara- eMPower,8940,8940,0,Bihar,West Bengal,Credit Card,Balance Transfer Credit Card,LateNight
5197,2023,3,2,Reversal,Successful,0,Nainital Bank,IDFC First Bank,HSBC,HSBC Simple Pay,CORP,BHIM Corp UPI,27192,28504,-1312,Maharashtra,West Bengal,Debit Card,Standard Debit Card,LateNight
5205,2022,8,2,Reversal,Successful,0,Andhra Bank,Utkarsh Small Finance Bank,AUBANK,BHIM AUPay(AU Small Finance Bank),PAYTM,Paytm UPI App,95212,95212,0,Haryana,Goa,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
5456,2023,8,2,Reversal,Successful,0,UCO Bank,Lakshmi Vilas Bank,SBMBANK,SBMBANK,IBL,PhonePe,75500,75500,0,Punjab,Bihar,Personal Loan,Secured Personal Loan,LateNight
5470,2021,3,2,Reversal,Successful,0,Canara Bank,Syndicate Bank,SBI,BHIM SBI Pay,SC,Standard Chartered UPI,61306,61306,0,Odisha,Punjab,Credit Card,Rewards Credit Card,LateNight
5475,2019,10,2,Reversal,Successful,0,DCB Bank (Development Credit Bank),Ujjivan Small Finance Bank,PREPAIDICICI,PREPAIDICICI,IOB,BHIM IOB UPI,42824,42824,0,Odisha,Rajasthan,Line of Credit,Personal Line of Credit,LateNight
5478,2023,11,2,Reversal,Refunded,M16,Indian Bank,Punjab and Maharashtra Co-operative Bank (PMC),EAZYPAY,ICICI EasyPay,SC,Standard Chartered UPI,47832,47832,0,Maharashtra,Odisha,Personal Loan,Unsecured Personal Loan,LateNight
5519,2021,3,2,Reversal,Successful,0,Canara Bank,Syndicate Bank,SBI,BHIM SBI Pay,SC,Standard Chartered UPI,61306,61306,0,Odisha,Punjab,Credit Card,Rewards Credit Card,LateNight
5523,2019,10,2,Reversal,Successful,0,DCB Bank (Development Credit Bank),Ujjivan Small Finance Bank,PREPAIDICICI,PREPAIDICICI,IOB,BHIM IOB UPI,42824,55671,-12847,Odisha,Rajasthan,Line of Credit,Personal Line of Credit,LateNight
5527,2023,11,2,Reversal,Refunded,M16,Indian Bank,Punjab and Maharashtra Co-operative Bank (PMC),EAZYPAY,ICICI EasyPay,SC,Standard Chartered UPI,47832,65186,-17354,Maharashtra,Odisha,Personal Loan,Unsecured Personal Loan,LateNight
5528,2023,8,2,Reversal,Successful,0,UCO Bank,Lakshmi Vilas Bank,SBMBANK,SBMBANK,IBL,PhonePe,75500,79150,-3650,Punjab,Bihar,Personal Loan,Secured Personal Loan,LateNight
5567,2021,3,2,Reversal,Successful,0,Canara Bank,Syndicate Bank,SBI,BHIM SBI Pay,SC,Standard Chartered UPI,61306,61306,0,Odisha,Punjab,Credit Card,Rewards Credit Card,LateNight
5571,2019,10,2,Reversal,Successful,0,DCB Bank (Development Credit Bank),Ujjivan Small Finance Bank,PREPAIDICICI,PREPAIDICICI,IOB,BHIM IOB UPI,42824,55671,-12847,Odisha,Rajasthan,Line of Credit,Personal Line of Credit,LateNight
5575,2023,11,2,Reversal,Refunded,M16,Indian Bank,Punjab and Maharashtra Co-operative Bank (PMC),EAZYPAY,ICICI EasyPay,SC,Standard Chartered UPI,47832,65186,-17354,Maharashtra,Odisha,Personal Loan,Unsecured Personal Loan,LateNight
5576,2023,8,2,Reversal,Successful,0,UCO Bank,Lakshmi Vilas Bank,SBMBANK,SBMBANK,IBL,PhonePe,75500,79150,-3650,Punjab,Bihar,Personal Loan,Secured Personal Loan,LateNight
5616,2020,7,2,Reversal,Successful,0,IDBI Bank,Madhya Bihar Gramin Bank,JPB,MyJio (Jio Payments Bank),IDFCNETC,IDFC Bank BHIM UPI App,54448,54448,0,Gujarat,Odisha,Credit Card,Secured Credit Card,LateNight
5642,2021,2,2,Reversal,Successful,0,AU Small Finance Bank,ICICI Bank,INDUS,BHIM Indus Pay,ABFSPAY,Bajaj Finserv,16308,16308,0,Kerala,Odisha,Auto Loan,New Car Loan,LateNight
5645,2020,3,2,Reversal,Successful,0,Utkarsh Small Finance Bank,Suryoday Small Finance Bank,ANDB,Bhim Andhra Bank One- UPI App,RBL,BHIM RBL Pay,21916,21916,0,Goa,Tamil Nadu,Debit Card,Prepaid Debit Card,LateNight
5647,2020,3,2,Reversal,Successful,0,Utkarsh Small Finance Bank,Suryoday Small Finance Bank,ANDB,Bhim Andhra Bank One- UPI App,RBL,BHIM RBL Pay,21916,21916,0,Goa,Tamil Nadu,Debit Card,Prepaid Debit Card,LateNight
5653,2021,2,2,Reversal,Successful,0,AU Small Finance Bank,ICICI Bank,INDUS,BHIM Indus Pay,ABFSPAY,Bajaj Finserv,16308,16308,0,Kerala,Odisha,Auto Loan,New Car Loan,LateNight
5667,2020,7,2,Reversal,Successful,0,IDBI Bank,Madhya Bihar Gramin Bank,JPB,MyJio (Jio Payments Bank),IDFCNETC,IDFC Bank BHIM UPI App,54448,54448,0,Gujarat,Odisha,Credit Card,Secured Credit Card,LateNight
5704,2021,2,2,Reversal,Successful,0,AU Small Finance Bank,ICICI Bank,INDUS,BHIM Indus Pay,ABFSPAY,Bajaj Finserv,16308,16308,0,Kerala,Odisha,Auto Loan,New Car Loan,LateNight
5710,2020,3,2,Reversal,Successful,0,Utkarsh Small Finance Bank,Suryoday Small Finance Bank,ANDB,Bhim Andhra Bank One- UPI App,RBL,BHIM RBL Pay,21916,21916,0,Goa,Tamil Nadu,Debit Card,Prepaid Debit Card,LateNight
5718,2020,7,2,Reversal,Successful,0,IDBI Bank,Madhya Bihar Gramin Bank,JPB,MyJio (Jio Payments Bank),IDFCNETC,IDFC Bank BHIM UPI App,54448,54448,0,Gujarat,Odisha,Credit Card,Secured Credit Card,LateNight
5747,2022,10,2,Reversal,Successful,0,Suryoday Small Finance Bank,Bank of India,IPPB,India Post Payments Bank,OKSBI,Google Pay,16308,21200,-4892,Andhra Pradesh,Andhra Pradesh,Overdraft,Personal Overdraft,LateNight
5748,2022,10,2,Reversal,Successful,0,Suryoday Small Finance Bank,Bank of India,IPPB,India Post Payments Bank,OKSBI,Google Pay,16308,16308,0,Andhra Pradesh,Andhra Pradesh,Overdraft,Personal Overdraft,LateNight
5849,2022,10,2,Reversal,Successful,0,Suryoday Small Finance Bank,Bank of India,IPPB,India Post Payments Bank,OKSBI,Google Pay,16308,21200,-4892,Andhra Pradesh,Andhra Pradesh,Overdraft,Personal Overdraft,LateNight
5897,2021,5,2,Reversal,Successful,0,ESAF Small Finance Bank,Paschim Banga Gramin Bank,IOB,BHIM IOB UPI,UCO,BHIM UCO UPI,87000,87000,0,Bihar,Tamil Nadu,Home Loan,Fixed-Rate Mortgage,LateNight
5907,2020,8,2,Reversal,Successful,0,RBL Bank,Jammu & Kashmir Bank,BARODAMPAY,BHIM Baroda PAY,PAYZAPP,HDFC PayZapp,97280,97280,0,Punjab,Jammu and Kashmir,Overdraft,Business Overdraft,LateNight
5956,2021,5,2,Reversal,Successful,0,ESAF Small Finance Bank,Paschim Banga Gramin Bank,IOB,BHIM IOB UPI,UCO,BHIM UCO UPI,87000,87000,0,Bihar,Tamil Nadu,Home Loan,Fixed-Rate Mortgage,LateNight
5965,2020,8,2,Reversal,Successful,0,RBL Bank,Jammu & Kashmir Bank,BARODAMPAY,BHIM Baroda PAY,PAYZAPP,HDFC PayZapp,97280,97280,0,Punjab,Jammu and Kashmir,Overdraft,Business Overdraft,LateNight
6006,2021,5,2,Reversal,Successful,0,ESAF Small Finance Bank,Paschim Banga Gramin Bank,IOB,BHIM IOB UPI,UCO,BHIM UCO UPI,87000,87000,0,Bihar,Tamil Nadu,Home Loan,Fixed-Rate Mortgage,LateNight
6015,2020,8,2,Reversal,Successful,0,RBL Bank,Jammu & Kashmir Bank,BARODAMPAY,BHIM Baroda PAY,PAYZAPP,HDFC PayZapp,97280,97280,0,Punjab,Jammu and Kashmir,Overdraft,Business Overdraft,LateNight
6047,2020,3,2,Reversal,Successful,0,Jana Small Finance Bank,North East Small Finance Bank,EQUITAS,Equitas UPI,DNSBANK,DNS Pay (Dombivli Nagarik Sahakari Bank Ltd),67886,67886,0,Punjab,Haryana,Debit Card,Standard Debit Card,LateNight
6056,2022,7,2,Reversal,Refunded,U78,HDFC Bank,Bandhan Bank,FREECHARGE,Freecharge,MYICICI,MI Pay,53604,53604,0,Bihar,Bihar,Auto Loan,Used Car Loan,LateNight
6071,2022,7,2,Reversal,Successful,0,Bandhan Bank,City Union Bank,SPCB,SPCB,DBAG,Deutsche Bank AG (Web Collect),94484,94484,0,Maharashtra,Maharashtra,Debit Card,Prepaid Debit Card,LateNight
6102,2022,7,2,Reversal,Successful,0,Bandhan Bank,City Union Bank,SPCB,SPCB,DBAG,Deutsche Bank AG (Web Collect),94484,94484,0,Maharashtra,Maharashtra,Debit Card,Prepaid Debit Card,LateNight
6111,2020,3,2,Reversal,Successful,0,Jana Small Finance Bank,North East Small Finance Bank,EQUITAS,Equitas UPI,DNSBANK,DNS Pay (Dombivli Nagarik Sahakari Bank Ltd),67886,67886,0,Punjab,Haryana,Debit Card,Standard Debit Card,LateNight
6118,2022,7,2,Reversal,Refunded,U78,HDFC Bank,Bandhan Bank,FREECHARGE,Freecharge,MYICICI,MI Pay,53604,53604,0,Bihar,Bihar,Auto Loan,Used Car Loan,LateNight
6146,2022,7,2,Reversal,Successful,0,Bandhan Bank,City Union Bank,SPCB,SPCB,DBAG,Deutsche Bank AG (Web Collect),94484,94484,0,Maharashtra,Maharashtra,Debit Card,Prepaid Debit Card,LateNight
6162,2020,3,2,Reversal,Successful,0,Jana Small Finance Bank,North East Small Finance Bank,EQUITAS,Equitas UPI,DNSBANK,DNS Pay (Dombivli Nagarik Sahakari Bank Ltd),67886,67886,0,Punjab,Haryana,Debit Card,Standard Debit Card,LateNight
6169,2022,7,2,Reversal,Refunded,U78,HDFC Bank,Bandhan Bank,FREECHARGE,Freecharge,MYICICI,MI Pay,53604,53604,0,Bihar,Bihar,Auto Loan,Used Car Loan,LateNight
6198,2021,7,2,Reversal,Successful,0,Madhya Bihar Gramin Bank,North East Small Finance Bank,HDFCBANKJD,JustDial,AUBANK,BHIM AUPay(AU Small Finance Bank),70500,70500,0,Kerala,Bihar,Debit Card,Standard Debit Card,LateNight
6203,2021,4,2,Reversal,Successful,0,Indian Bank,Indian Bank,AXL,PhonePe,PAYTM,Paytm UPI App,88946,88946,0,West Bengal,Kerala,Home Loan,Fixed-Rate Mortgage,LateNight
6204,2022,3,2,Reversal,Successful,0,Punjab and Maharashtra Co-operative Bank (PMC),Yes Bank,ICICI,ICICI iMobile,MAHB,BHIM Maha UPI(Bank of Maharashtra),2960,2960,0,Haryana,Jammu and Kashmir,Line of Credit,Personal Line of Credit,LateNight
6220,2020,10,2,Reversal,Successful,0,North East Small Finance Bank,Baroda Gujarat Gramin Bank,WAAXIS,WhatsApp Pay,RMHDFCBANK,RealMe,51150,51150,0,Odisha,Haryana,Auto Loan,New Car Loan,LateNight
6221,2019,8,2,Reversal,Pending,U92,HDFC Bank,Allahabad Bank,DBAG,Deutsche Bank AG (Web Collect),ABFSPAY,Bajaj Finserv,20088,20088,0,Jharkhand,Haryana,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
6239,2019,8,2,Reversal,Pending,U92,HDFC Bank,Allahabad Bank,DBAG,Deutsche Bank AG (Web Collect),ABFSPAY,Bajaj Finserv,20088,20088,0,Jharkhand,Haryana,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
6240,2019,8,2,Reversal,Pending,U92,HDFC Bank,Allahabad Bank,DBAG,Deutsche Bank AG (Web Collect),ABFSPAY,Bajaj Finserv,20088,20088,0,Jharkhand,Haryana,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
6252,2021,7,2,Reversal,Successful,0,Madhya Bihar Gramin Bank,North East Small Finance Bank,HDFCBANKJD,JustDial,AUBANK,BHIM AUPay(AU Small Finance Bank),70500,70500,0,Kerala,Bihar,Debit Card,Standard Debit Card,LateNight
6257,2022,3,2,Reversal,Successful,0,Punjab and Maharashtra Co-operative Bank (PMC),Yes Bank,ICICI,ICICI iMobile,MAHB,BHIM Maha UPI(Bank of Maharashtra),2960,2960,0,Haryana,Jammu and Kashmir,Line of Credit,Personal Line of Credit,LateNight
